"zone","acres","sqft","yearbuilt","bedrooms","bathrooms","halfbaths","multibuilding","style","saledate1","saleprice1","saledate2","saleprice2","saledate3","saleprice3","saledate4","saleprice4","saledate5","saleprice5"
"BA",0.24,1948,1880,3,2,0,FALSE,"Mix Use Res Tp","1999",0,"1999",0,"1996",0,"1988",230000,NA,NA
"BA",0.16,1758,1930,0,0,0,FALSE,"Restaurant","2015",0,"2011",0,"2011",0,"2006",320000,"2002",150000
"BA",0,1140,1989,2,3,1,FALSE,"Condominium","2004",187000,"2003",158000,"1998",43000,"1997",0,"1991",120000
"BA",0,1274,1990,2,1,1,FALSE,"Condominium","2014",75000,"2001",96000,"2000",49900,"1997",0,"1991",120000
"BA",0,1274,1996,2,1,1,FALSE,"Condominium","2004",185000,"2002",0,"2002",399000,"1996",0,"1992",0
"BA",0,960,1996,2,1,1,FALSE,"Condominium","2017",0,"2017",0,"2014",0,"2014",0,"2005",171000
"BA",0,1180,1996,2,1,1,FALSE,"Condominium","2011",130000,"2006",125000,"2002",131000,"2000",73150,NA,0
"BA",0,1180,1996,2,1,1,FALSE,"Condominium","2004",188500,"2002",0,"2002",105000,"2002",0,"2002",399000
"BA",0,1180,1996,2,1,1,FALSE,"Condominium","2014",140000,"2013",0,"2007",222500,"2007",222500,"2006",212000
"BA",0,1180,1996,2,1,1,FALSE,"Condominium","2008",243000,"2005",0,"2002",0,"2002",399000,NA,0
"BA",0,960,1996,2,1,1,FALSE,"Condominium","2004",149900,"2002",0,"2002",399000,NA,0,NA,NA
"BA",0.26,2942,1800,6,4,1,FALSE,"2 Family","2016",89000,"2014",0,"2014",0,"2010",0,"2005",0
"BA",0.14,1311,1870,2,2,0,FALSE,"2 Family","2015",65100,"2015",0,"2015",0,"2010",0,"2005",0
"BA",0.14,2907,1890,5,3,0,FALSE,"3 Family","2016",280000,"2011",0,"2004",3e+05,"2003",2e+05,"1994",0
"BA",0.58,3872,1965,0,0,0,FALSE,"Restaurant","2015",45000,"2008",0,"2003",3e+05,"1994",0,NA,NA
"BA",0,1252,1992,2,1,1,FALSE,"Condominium","2004",140000,"2003",0,"2002",99000,"1996",55000,"1996",0
"BA",0,1088,1992,2,1,1,FALSE,"Condominium","2013",65000,"2013",0,"2013",0,"2007",170000,"2003",126000
"BA",0,1088,1992,2,1,1,FALSE,"Condominium","2003",120000,"2002",83000,"2000",62500,"1995",60000,"1990",0
"BA",0,1088,1992,2,1,1,FALSE,"Condominium","2009",150000,"2004",134050,"1995",66000,"1990",0,NA,NA
"BA",0,1252,1992,2,1,1,FALSE,"Condominium","2015",85000,"2002",118000,"1996",55900,"1995",0,"1992",99000
"BA",0,1252,1990,2,1,1,FALSE,"Condominium","2015",112000,"2006",182000,"2001",75000,"1996",57000,"1996",0
"BA",0,1088,1990,2,1,1,FALSE,"Condominium","1991",104900,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0,1088,1990,2,1,1,FALSE,"Condominium","2002",90000,"1991",106900,NA,NA,NA,NA,NA,NA
"BA",0,1088,1990,2,1,1,FALSE,"Condominium","2009",0,"2009",0,"2005",161000,"1990",106000,NA,NA
"BA",0,1088,1990,2,1,1,FALSE,"Condominium","2009",145000,"2008",77000,"2007",0,"2003",114000,"2001",74675
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2001",72000,"1988",105000,NA,NA,NA,NA,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2011",1e+05,"2009",150000,"1995",60000,"1990",0,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2017",0,"2015",0,"2003",131900,"1988",105000,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","1995",0,"1995",0,"1988",105000,NA,NA,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2006",178500,"1998",48000,"1998",0,"1988",106500,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2008",0,"2007",0,"2003",114000,"1988",110000,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2009",149900,"2007",167375,"2007",167375,"2002",99000,"1998",45000
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2006",179000,"2005",138000,"1998",52500,"1988",106500,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","1995",61000,"1993",125000,NA,NA,NA,NA,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2009",0,"2002",70000,"2001",0,"1988",125000,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2009",148000,"2005",154000,"2000",72600,"1990",131000,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2005",170000,"2003",132000,"2000",78800,"1988",125000,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2003",131840,"2001",71000,"1988",110000,NA,NA,NA,NA
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","2015",0,"2014",0,"2014",48000,"2012",55600,"2012",0
"BA",0,1088,1988,2,1,1,FALSE,"Condominium","1996",0,"1995",32269,"1994",0,"1989",118000,NA,NA
"BA",0,1252,1988,2,1,1,FALSE,"Condominium","2006",179900,"2006",0,"2004",0,"2000",71000,"1988",105000
"BA",0,1252,1989,2,1,1,FALSE,"Condominium","2017",0,"2017",65000,"2016",0,"2016",0,"2005",160000
"BA",0,1088,1989,2,1,1,FALSE,"Condominium","2007",165000,"2005",161500,"2003",111000,"1990",120000,NA,NA
"BA",0,1088,1989,2,1,1,FALSE,"Condominium","2005",160000,"1993",67500,NA,NA,NA,NA,NA,NA
"BA",0,1252,1989,2,1,1,FALSE,"Condominium","2006",0,"1993",81000,NA,NA,NA,NA,NA,NA
"BA",0,1252,1990,2,1,1,FALSE,"Condominium","2006",160000,"1998",0,"1990",113500,NA,NA,NA,NA
"BA",0,1252,1990,2,1,1,FALSE,"Condominium","2017",0,"2015",84500,"2015",0,"2015",0,"2004",136000
"BA",0,1088,1990,2,1,1,FALSE,"Condominium","2006",171500,"2002",93000,"1991",92900,NA,NA,NA,NA
"BA",0,1252,1990,2,1,1,FALSE,"Condominium","2003",120000,"1998",0,"1998",0,"1989",0,NA,NA
"BA",1.22,8000,1997,0,0,0,FALSE,"Retail&lt;10th sf","1996",250000,"1995",0,"1993",0,NA,NA,NA,NA
"BA",1.25,2409,1997,0,0,0,FALSE,"Fast Fd Chn","2013",625000,"2004",0,"1997",0,"1997",1,NA,NA
"BA",1.64,14609,2004,0,0,0,FALSE,"Pharmacy","2005",4758620,"2003",555000,"1985",0,NA,NA,NA,NA
"BA",0.78,2046,1998,0,0,0,FALSE,"Fast Fd Chn","2017",0,"2013",883216,"2001",425945,"1997",0,"1994",0
"BA",0.23,3772,1920,0,0,0,FALSE,"Mix Ret Apt","2012",5e+05,"1980",0,NA,NA,NA,NA,NA,NA
"BA",0.2,3042,1920,0,0,0,FALSE,"Retail&lt;10th sf","1994",45000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.15,2802,2003,0,0,0,FALSE,"Warehouse","2001",54000,NA,0,NA,NA,NA,NA,NA,NA
"BA",1,0,NA,0,0,0,FALSE,"Vacant Land","2003",0,"1997",15700000,"1994",150000,NA,NA,NA,NA
"BA",22.25,130943,1997,0,0,0,FALSE,"Retail&gt;10th sf","1997",8925000,"1988",1937830,NA,NA,NA,NA,NA,NA
"BA",0.69,2135,1965,0,0,0,TRUE,"Gas Mart","2000",1e+06,"1999",253718,NA,NA,NA,NA,NA,NA
"BA",1.38,4504,1981,0,0,0,FALSE,"Fast Fd Chn","1990",0,"1988",380000,NA,NA,NA,NA,NA,NA
"BA",0.8,1000,1993,0,0,0,TRUE,"Gas Mart","2008",1206000,"2006",1e+06,"1998",1082045,"1990",0,NA,NA
"BA",1.04,4712,1990,0,0,0,TRUE,"Retail&lt;10th sf","1995",0,"1990",0,"1990",459600,NA,NA,NA,NA
"BA",1.47,22682,1986,0,0,0,FALSE,"Motel","2001",2500000,"1985",0,NA,NA,NA,NA,NA,NA
"BA",0.44,1104,1991,0,0,0,FALSE,"Gas Mart","2010",750000,"2008",0,"1999",0,NA,NA,NA,NA
"BA",0.47,2340,2014,0,0,0,FALSE,"Retail&lt;10th sf","1999",145000,"1997",0,"1992",0,NA,NA,NA,NA
"BA",0.74,2695,2016,0,0,0,FALSE,"Fast Fd Chn","2006",7e+05,"1985",0,NA,NA,NA,NA,NA,NA
"BA",0.55,3000,2003,0,0,0,FALSE,"Gas Mart","2004",550000,"2003",3e+05,"2001",325000,"1999",0,"1998",0
